ID,SiteID,Toponym,Type,Period,subOcc,StartDate,EndDate,duration,Longitude,Latitude,Long_Cord,Lat_Cord,Notes,LocQual,Sources,surveyLink,geometry,popup_text,Period_large,Num_Inscriptions
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,LC_IIA,0,-1550,-1450,100,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993,POINT (32.47985389 34.76800139),ID: CY3<br>Toponym: Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou<br>Type: settlement<br>Period: LC_IIA,LC,0
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,LC_IIB,0,-1450,-1300,150,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993,POINT (32.47985389 34.76800139),ID: CY3<br>Toponym: Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou<br>Type: settlement<br>Period: LC_IIB,LC,0
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,LC_IIC,0,-1300,-1200,100,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993,POINT (32.47985389 34.76800139),ID: CY3<br>Toponym: Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou<br>Type: settlement<br>Period: LC_IIC,LC,0
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,LC_IIIA,0,-1200,-1100,100,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993,POINT (32.47985389 34.76800139),ID: CY3<br>Toponym: Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou<br>Type: settlement<br>Period: LC_IIIA,LC,0
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,LC_IIIB,0,-1100,-1050,50,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993,POINT (32.47985389 34.76800139),ID: CY3<br>Toponym: Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou<br>Type: settlement<br>Period: LC_IIIB,LC,0
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,Hel_I,1,-312,-200,112,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993,POINT (32.47985389 34.76800139),ID: CY3<br>Toponym: Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou<br>Type: settlement<br>Period: Hel_I,Hellenistic,0
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,Hel_II,1,-200,-58,142,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993,POINT (32.47985389 34.76800139),ID: CY3<br>Toponym: Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou<br>Type: settlement<br>Period: Hel_II,Hellenistic,0
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,E_Rom_I,1,-58,50,108,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993,POINT (32.47985389 34.76800139),ID: CY3<br>Toponym: Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou<br>Type: settlement<br>Period: E_Rom_I,Roman,0
CY3, ,Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou,settlement,E_Rom_II,1,50,250,200,452402.0,3847439.0,32.47985389,34.76800139, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,80-E-56; Sorensen & Rupp 1993,POINT (32.47985389 34.76800139),ID: CY3<br>Toponym: Ayia Marinouda-Marathounta Argakin tou Ayiou Anajerou<br>Type: settlement<br>Period: E_Rom_II,Roman,0
CY4, ,Anarita Eliouthkia,settlement,LC_IIA,0,-1550,-1450,100,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: LC_IIA,LC,0
CY4, ,Anarita Eliouthkia,settlement,LC_IIB,0,-1450,-1300,150,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: LC_IIB,LC,0
CY4, ,Anarita Eliouthkia,settlement,LC_IIC,0,-1300,-1200,100,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: LC_IIC,LC,0
CY4, ,Anarita Eliouthkia,settlement,LC_IIIA,0,-1200,-1100,100,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: LC_IIIA,LC,0
CY4, ,Anarita Eliouthkia,settlement,LC_IIIB,0,-1100,-1050,50,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: LC_IIIB,LC,0
CY4, ,Anarita Eliouthkia,settlement,CG_II,1,-950,-900,50,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: CG_II,Geometric,0
CY4, ,Anarita Eliouthkia,settlement,CG_III,1,-900,-750,150,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: CG_III,Geometric,0
CY4, ,Anarita Eliouthkia,settlement,CA_I,1,-750,-600,150,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: CA_I,Archaic,0
CY4, ,Anarita Eliouthkia,settlement,CA_II,1,-600,-475,125,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: CA_II,Archaic,0
CY4, ,Anarita Eliouthkia,settlement,CC_I,1,-475,-400,75,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: CC_I,Classical,0
CY4, ,Anarita Eliouthkia,settlement,CC_II,1,-400,-312,88,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: CC_II,Classical,0
CY4, ,Anarita Eliouthkia,settlement,Hel_I,1,-312,-200,112,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: Hel_I,Hellenistic,0
CY4, ,Anarita Eliouthkia,settlement,Hel_II,1,-200,-58,142,455794.0,3843226.0,32.51714126,34.7301634, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,83-E-5; Sorensen & Rupp 1993,POINT (32.51714126 34.7301634),ID: CY4<br>Toponym: Anarita Eliouthkia<br>Type: settlement<br>Period: Hel_II,Hellenistic,0
CY5,425,Kidasi Asproyi,settlement,CA_I,1,-750,-600,150,475000.0,3852200.0,32.7266573,34.81173897, ,A,Georgious 2006; Agapiou et al 2020; Sørensen & Rupp 1993,86-D-28; Sorensen & Rupp 1993,POINT (32.7266573 34.81173897),ID: CY5<br>Toponym: Kidasi Asproyi<br>Type: settlement<br>Period: CA_I,Archaic,0
